,,,WraLU,,AB-CROWN,,GRENA,
Image index,Dataset / Network,Epsilon,Result,Time (seconds),Result,Time (seconds),Result,Time (seconds)
0,cifar10 / convBigRELU__DiffAI,0.00784313725,verified,31.7,verified,22.4,verified,56.4
12,cifar10 / convBigRELU__DiffAI,0.00784313725,verified,38.5,verified,1.7,verified,68.6
13,cifar10 / convBigRELU__DiffAI,0.00784313725,verified,38.9,verified,11.3,verified,69.9
17,cifar10 / convBigRELU__DiffAI,0.00784313725,verified,29.8,verified,1.7,verified,53.9
20,cifar10 / convBigRELU__DiffAI,0.00784313725,verified,16.7,verified,1.7,verified,31.1
32,cifar10 / convBigRELU__DiffAI,0.00784313725,verified,35.7,verified,16.6,verified,63.7
33,cifar10 / convBigRELU__DiffAI,0.00784313725,verified,35.1,verified,1.7,verified,63.1
47,cifar10 / convBigRELU__DiffAI,0.00784313725,verified,38.2,verified,1.9,verified,69.2
49,cifar10 / convBigRELU__DiffAI,0.00784313725,verified,30.6,verified,1.7,verified,56.0
55,cifar10 / convBigRELU__DiffAI,0.00784313725,verified,37.4,verified,2.7,verified,67.3
65,cifar10 / convBigRELU__DiffAI,0.00784313725,verified,38.9,verified,17.0,verified,66.7
71,cifar10 / convBigRELU__DiffAI,0.00784313725,verified,34.9,verified,1.7,verified,60.4
80,cifar10 / convBigRELU__DiffAI,0.00784313725,verified,39.9,verified,1.7,verified,70.6
88,cifar10 / convBigRELU__DiffAI,0.00784313725,verified,31.0,verified,13.0,verified,55.9
91,cifar10 / convBigRELU__DiffAI,0.00784313725,verified,23.5,verified,1.7,verified,43.2
97,cifar10 / convBigRELU__DiffAI,0.00784313725,verified,21.8,verified,1.8,verified,39.1
101,cifar10 / convBigRELU__DiffAI,0.00784313725,verified,39.6,verified,1.8,verified,70.2
102,cifar10 / convBigRELU__DiffAI,0.00784313725,verified,37.0,verified,1.8,verified,65.7
103,cifar10 / convBigRELU__DiffAI,0.00784313725,verified,38.5,verified,1.8,verified,66.9
104,cifar10 / convBigRELU__DiffAI,0.00784313725,verified,24.9,verified,1.7,verified,45.1
115,cifar10 / convBigRELU__DiffAI,0.00784313725,verified,22.2,unknown,302.1,verified,38.4
119,cifar10 / convBigRELU__DiffAI,0.00784313725,verified,33.5,unknown,301.9,verified,58.1
130,cifar10 / convBigRELU__DiffAI,0.00784313725,verified,33.1,verified,1.8,verified,57.7
132,cifar10 / convBigRELU__DiffAI,0.00784313725,verified,32.3,verified,1.8,verified,59.2
145,cifar10 / convBigRELU__DiffAI,0.00784313725,verified,39.6,verified,13.5,verified,70.2
155,cifar10 / convBigRELU__DiffAI,0.00784313725,verified,31.2,verified,16.5,verified,53.4
163,cifar10 / convBigRELU__DiffAI,0.00784313725,verified,26.7,verified,1.8,verified,48.1
165,cifar10 / convBigRELU__DiffAI,0.00784313725,verified,25.5,verified,3.2,verified,43.8
174,cifar10 / convBigRELU__DiffAI,0.00784313725,verified,33.4,verified,1.8,verified,59.8
192,cifar10 / convBigRELU__DiffAI,0.00784313725,verified,40.2,verified,1.8,verified,68.6
0,resnet / resnet_3b2_bn_mixup_adv_4.0_bs128_lr-1,0.0033,-,-1.0,verified,7.2,verified,55.1
1,resnet / resnet_3b2_bn_mixup_adv_4.0_bs128_lr-1,0.0033,-,-1.0,verified,1.0,verified,54.6
9,resnet / resnet_3b2_bn_mixup_adv_4.0_bs128_lr-1,0.0033,-,-1.0,verified,123.8,verified,137.1
15,resnet / resnet_3b2_bn_mixup_adv_4.0_bs128_lr-1,0.0033,-,-1.0,verified,2.5,verified,56.4
17,resnet / resnet_3b2_bn_mixup_adv_4.0_bs128_lr-1,0.0033,-,-1.0,verified,2.4,verified,54.3
20,resnet / resnet_3b2_bn_mixup_adv_4.0_bs128_lr-1,0.0033,-,-1.0,verified,2.4,verified,54.6
25,resnet / resnet_3b2_bn_mixup_adv_4.0_bs128_lr-1,0.0033,-,-1.0,falsified,0.1,falsified,106.4
35,resnet / resnet_3b2_bn_mixup_adv_4.0_bs128_lr-1,0.0033,-,-1.0,verified,2.5,verified,54.2
43,resnet / resnet_3b2_bn_mixup_adv_4.0_bs128_lr-1,0.0033,-,-1.0,falsified,0.0,falsified,118.1
45,resnet / resnet_3b2_bn_mixup_adv_4.0_bs128_lr-1,0.0033,-,-1.0,falsified,0.1,falsified,110.8
50,resnet / resnet_3b2_bn_mixup_adv_4.0_bs128_lr-1,0.0033,-,-1.0,verified,2.5,verified,54.6
53,resnet / resnet_3b2_bn_mixup_adv_4.0_bs128_lr-1,0.0033,-,-1.0,verified,2.5,verified,53.6
54,resnet / resnet_3b2_bn_mixup_adv_4.0_bs128_lr-1,0.0033,-,-1.0,verified,2.5,verified,52.9
71,resnet / resnet_3b2_bn_mixup_adv_4.0_bs128_lr-1,0.0033,-,-1.0,verified,2.5,verified,53.7
72,resnet / resnet_3b2_bn_mixup_adv_4.0_bs128_lr-1,0.0033,-,-1.0,verified,2.5,verified,52.8
77,resnet / resnet_3b2_bn_mixup_adv_4.0_bs128_lr-1,0.0033,-,-1.0,verified,16.9,verified,132.4
89,resnet / resnet_3b2_bn_mixup_adv_4.0_bs128_lr-1,0.0033,-,-1.0,verified,32.8,verified,131.2
129,resnet / resnet_3b2_bn_mixup_adv_4.0_bs128_lr-1,0.0033,-,-1.0,verified,2.7,verified,54.7
131,resnet / resnet_3b2_bn_mixup_adv_4.0_bs128_lr-1,0.0033,-,-1.0,verified,2.6,verified,54.4
143,resnet / resnet_3b2_bn_mixup_adv_4.0_bs128_lr-1,0.0033,-,-1.0,verified,2.6,verified,55.5
147,resnet / resnet_3b2_bn_mixup_adv_4.0_bs128_lr-1,0.0033,-,-1.0,verified,19.5,verified,139.7
149,resnet / resnet_3b2_bn_mixup_adv_4.0_bs128_lr-1,0.0033,-,-1.0,verified,2.7,verified,56.8
153,resnet / resnet_3b2_bn_mixup_adv_4.0_bs128_lr-1,0.0033,-,-1.0,verified,2.6,verified,53.0
163,resnet / resnet_3b2_bn_mixup_adv_4.0_bs128_lr-1,0.0033,-,-1.0,verified,2.7,verified,55.5
165,resnet / resnet_3b2_bn_mixup_adv_4.0_bs128_lr-1,0.0033,-,-1.0,verified,2.7,verified,53.1
172,resnet / resnet_3b2_bn_mixup_adv_4.0_bs128_lr-1,0.0033,-,-1.0,verified,2.7,verified,55.0
179,resnet / resnet_3b2_bn_mixup_adv_4.0_bs128_lr-1,0.0033,-,-1.0,verified,5.1,verified,162.7
181,resnet / resnet_3b2_bn_mixup_adv_4.0_bs128_lr-1,0.0033,-,-1.0,verified,2.7,verified,55.9
184,resnet / resnet_3b2_bn_mixup_adv_4.0_bs128_lr-1,0.0033,-,-1.0,verified,48.7,verified,142.4
195,resnet / resnet_3b2_bn_mixup_adv_4.0_bs128_lr-1,0.0033,-,-1.0,verified,3.2,verified,55.4
0,resnet / resnet_3b2_bn_mixup_ssadv_4.0_bs128_lr-1_v2,0.012,-,-1.0,verified,7.8,verified,54.7
9,resnet / resnet_3b2_bn_mixup_ssadv_4.0_bs128_lr-1_v2,0.012,-,-1.0,unknown,304.3,verified,253.5
15,resnet / resnet_3b2_bn_mixup_ssadv_4.0_bs128_lr-1_v2,0.012,-,-1.0,unknown,303.0,verified,433.7
17,resnet / resnet_3b2_bn_mixup_ssadv_4.0_bs128_lr-1_v2,0.012,-,-1.0,verified,4.6,verified,54.5
20,resnet / resnet_3b2_bn_mixup_ssadv_4.0_bs128_lr-1_v2,0.012,-,-1.0,verified,4.7,verified,53.4
25,resnet / resnet_3b2_bn_mixup_ssadv_4.0_bs128_lr-1_v2,0.012,-,-1.0,falsified,0.1,falsified,119.2
35,resnet / resnet_3b2_bn_mixup_ssadv_4.0_bs128_lr-1_v2,0.012,-,-1.0,falsified,0.1,falsified,109.2
50,resnet / resnet_3b2_bn_mixup_ssadv_4.0_bs128_lr-1_v2,0.012,-,-1.0,unknown,302.5,verified,269.5
54,resnet / resnet_3b2_bn_mixup_ssadv_4.0_bs128_lr-1_v2,0.012,-,-1.0,verified,4.8,verified,52.6
71,resnet / resnet_3b2_bn_mixup_ssadv_4.0_bs128_lr-1_v2,0.012,-,-1.0,verified,4.7,verified,53.6
79,resnet / resnet_3b2_bn_mixup_ssadv_4.0_bs128_lr-1_v2,0.012,-,-1.0,verified,47.9,verified,156.7
83,resnet / resnet_3b2_bn_mixup_ssadv_4.0_bs128_lr-1_v2,0.012,-,-1.0,falsified,0.1,falsified,108.1
87,resnet / resnet_3b2_bn_mixup_ssadv_4.0_bs128_lr-1_v2,0.012,-,-1.0,verified,48.6,verified,209.9
91,resnet / resnet_3b2_bn_mixup_ssadv_4.0_bs128_lr-1_v2,0.012,-,-1.0,verified,46.6,verified,199.9
93,resnet / resnet_3b2_bn_mixup_ssadv_4.0_bs128_lr-1_v2,0.012,-,-1.0,unknown,304.4,verified,255.2
96,resnet / resnet_3b2_bn_mixup_ssadv_4.0_bs128_lr-1_v2,0.012,-,-1.0,verified,72.0,verified,146.1
97,resnet / resnet_3b2_bn_mixup_ssadv_4.0_bs128_lr-1_v2,0.012,-,-1.0,verified,4.6,verified,54.8
102,resnet / resnet_3b2_bn_mixup_ssadv_4.0_bs128_lr-1_v2,0.012,-,-1.0,falsified,0.1,falsified,119.7
109,resnet / resnet_3b2_bn_mixup_ssadv_4.0_bs128_lr-1_v2,0.012,-,-1.0,unknown,300.7,verified,179.0
119,resnet / resnet_3b2_bn_mixup_ssadv_4.0_bs128_lr-1_v2,0.012,-,-1.0,verified,44.0,verified,153.8
123,resnet / resnet_3b2_bn_mixup_ssadv_4.0_bs128_lr-1_v2,0.012,-,-1.0,verified,4.6,verified,54.1
129,resnet / resnet_3b2_bn_mixup_ssadv_4.0_bs128_lr-1_v2,0.012,-,-1.0,unknown,306.1,verified,202.2
131,resnet / resnet_3b2_bn_mixup_ssadv_4.0_bs128_lr-1_v2,0.012,-,-1.0,verified,75.6,verified,291.9
137,resnet / resnet_3b2_bn_mixup_ssadv_4.0_bs128_lr-1_v2,0.012,-,-1.0,falsified,0.1,falsified,109.2
147,resnet / resnet_3b2_bn_mixup_ssadv_4.0_bs128_lr-1_v2,0.012,-,-1.0,unknown,303.2,unknown,603.2
149,resnet / resnet_3b2_bn_mixup_ssadv_4.0_bs128_lr-1_v2,0.012,-,-1.0,verified,102.4,verified,516.7
152,resnet / resnet_3b2_bn_mixup_ssadv_4.0_bs128_lr-1_v2,0.012,-,-1.0,falsified,0.1,falsified,132.0
163,resnet / resnet_3b2_bn_mixup_ssadv_4.0_bs128_lr-1_v2,0.012,-,-1.0,verified,47.7,verified,332.8
172,resnet / resnet_3b2_bn_mixup_ssadv_4.0_bs128_lr-1_v2,0.012,-,-1.0,unknown,302.9,verified,258.3
184,resnet / resnet_3b2_bn_mixup_ssadv_4.0_bs128_lr-1_v2,0.012,-,-1.0,verified,57.6,verified,208.5
0,mnist / mnist-net_256x6,0.033,verified,0.6,verified,4.5,verified,1.0
2,mnist / mnist-net_256x6,0.033,unknown,10.1,verified,0.7,verified,237.3
9,mnist / mnist-net_256x6,0.033,unknown,13.0,verified,41.2,unknown,303.6
17,mnist / mnist-net_256x6,0.033,unknown,25.0,falsified,0.0,falsified,34.7
22,mnist / mnist-net_256x6,0.033,unknown,20.3,unknown,303.6,unknown,286.3
27,mnist / mnist-net_256x6,0.033,unknown,15.0,verified,24.9,unknown,422.6
33,mnist / mnist-net_256x6,0.033,unknown,19.6,unknown,304.2,unknown,238.1
39,mnist / mnist-net_256x6,0.033,unknown,33.9,falsified,0.0,falsified,48.4
44,mnist / mnist-net_256x6,0.033,unknown,32.3,unknown,303.6,unknown,174.2
53,mnist / mnist-net_256x6,0.033,verified,0.7,verified,0.5,verified,1.2
61,mnist / mnist-net_256x6,0.033,unknown,37.9,falsified,0.1,unknown,189.6
68,mnist / mnist-net_256x6,0.033,verified,0.7,verified,0.5,verified,1.1
78,mnist / mnist-net_256x6,0.033,unknown,15.0,verified,9.2,unknown,600.0
88,mnist / mnist-net_256x6,0.033,unknown,32.0,unknown,303.8,unknown,180.1
91,mnist / mnist-net_256x6,0.033,unknown,34.1,falsified,0.0,falsified,41.5
113,mnist / mnist-net_256x6,0.033,unknown,32.3,falsified,0.0,falsified,38.9
118,mnist / mnist-net_256x6,0.033,unknown,20.1,verified,0.6,verified,340.1
127,mnist / mnist-net_256x6,0.033,unknown,26.0,verified,9.6,unknown,600.1
132,mnist / mnist-net_256x6,0.033,unknown,31.6,falsified,0.0,falsified,29.4
138,mnist / mnist-net_256x6,0.033,unknown,33.9,unknown,303.3,unknown,186.7
140,mnist / mnist-net_256x6,0.033,unknown,28.7,verified,112.2,unknown,600.0
141,mnist / mnist-net_256x6,0.033,unknown,35.1,falsified,0.0,falsified,31.8
155,mnist / mnist-net_256x6,0.033,unknown,42.7,unknown,304.4,unknown,187.0
158,mnist / mnist-net_256x6,0.033,unknown,46.6,falsified,0.0,unknown,213.0
164,mnist / mnist-net_256x6,0.033,unknown,20.7,verified,0.7,verified,140.1
172,mnist / mnist-net_256x6,0.033,unknown,40.9,unknown,304.5,unknown,188.7
185,mnist / mnist-net_256x6,0.033,unknown,19.7,verified,1.3,verified,232.4
188,mnist / mnist-net_256x6,0.033,unknown,45.9,falsified,0.0,falsified,47.1
190,mnist / mnist-net_256x6,0.033,unknown,45.0,falsified,0.0,falsified,46.0
