img_id,result,time
0,verified,64.4647307395935
1,verified,64.09782862663269
9,verified,178.88523244857788
15,verified,65.64069652557373
17,verified,62.923967123031616
20,verified,63.97200560569763
25,falsified,122.04721355438232
35,verified,63.273921966552734
43,falsified,132.92808318138123
45,falsified,125.0600073337555
50,verified,63.978777170181274
53,verified,62.909727573394775
54,verified,61.913628578186035
71,verified,62.90966248512268
72,verified,61.38731789588928
77,verified,175.8799901008606
89,verified,174.51645135879517
129,verified,63.70433568954468
131,verified,63.1862530708313
143,verified,64.38775849342346
147,verified,181.75104522705078
149,verified,67.33213758468628
153,verified,61.768319845199585
163,verified,64.38583111763
165,verified,61.99874520301819
172,verified,64.66670751571655
179,verified,182.13499760627747
181,verified,63.04827952384949
184,verified,169.29639792442322
195,verified,63.17945837974548
Num. of unknown:,0
Num. of verified:,27
Num. of falsified:,3
Total time:,2777.629509449005
Avg. time:,92.58765031496684
Avg. time of verified/falsified (excludes unknown):,92.58765031496684
Avg. time of unknown:,0
Avg. time of verified:,88.7997853844254
Avg. time of falsified:,126.67843468983968
