img_id,result,time
0,Verified,63.57428336143494
9,Verified,396.79424571990967
15,Unknown,600.0001378059387
17,Verified,63.00194501876831
20,Verified,62.085683822631836
25,Unknown,133.94498586654663
35,Unknown,124.93169093132019
50,Verified,422.95171546936035
54,Verified,61.85965585708618
71,Verified,62.15450668334961
79,Verified,175.34022188186646
83,Unknown,122.30205011367798
87,Verified,282.9702262878418
91,Verified,195.09482049942017
93,Verified,394.8522889614105
96,Verified,166.94183945655823
97,Verified,62.89754104614258
102,Unknown,134.78823924064636
109,Verified,249.11386513710022
119,Verified,176.11603903770447
123,Verified,61.291529178619385
129,Verified,269.48644852638245
131,Verified,436.78408217430115
137,Unknown,123.34792590141296
147,Unknown,613.885782957077
149,Verified,345.3884515762329
152,Unknown,147.13346791267395
163,Verified,578.8280911445618
172,Verified,382.6677496433258
184,Verified,300.39900612831116
Num. of unknown:,8
Num. of verified:,22
Num. of falsified:,0
Total time:,7210.928517341614
Avg. time:,240.36428391138713
Avg. time of verified/falsified (excludes unknown):,236.84519257328728
Avg. time of unknown:,250.04178509116173
Avg. time of verified:,236.84519257328728
Avg. time of falsified:,0
